series,mass,noq_error
0::104,23.7,5.9172576094210605
0::117,28.8,6.992149547078092
0::118,8.4,1.143472635716222
0::122,14.04,4.780848994147063
0::127,5.9,1.7212978747114218
0::129,6.9,5.182350066039437
0::136,5.4,2.5174792134675075
0::166,12.1,2.211605868911594
0::18,5.5,2.1426054663138716
0::19,4.3,6.111665124738572
0::190,5.4,4.704462701220404
0::193,4.0,1.9732856727477792
0::194,4.8,1.9650699300937569
0::201,3.5,1.695087510700733
0::207,11.8,2.8256158967210654
0::21,6.6000000000000005,1.007977811541039
0::214,2.2,0.9710002840346923
0::215,30.9,8.915914796666362
0::223,10.2,2.4077989668140534
0::23,4.5,2.891267108292514
0::253,1.5,3.1802484394126407
0::259,3.0,1.1454378116698962
0::26,5.58,1.1643372403597008
0::291,4.9,1.4108824020387973
0::296,9.5,2.8511338367779073
0::300,35.1,5.947769741296321
0::310,12.8,3.4880871360703356
0::345,2.8,1.3513911328095118
0::370,6.0,2.2130390258445027
0::379,3.7,1.9285107174197793
0::38,3.8,2.012780861669228
0::4,3.6,3.6301443007928587
0::41,3.1,9.240096545674476
0::411,4.7,0.946244192535078
0::419,6.0,1.042765604617394
0::439,4.3999999999999995,3.3612734352604288
0::486,15.3,1.7841196692467112
0::489,5.3,2.3117109504691213
0::496,5.180000000000001,2.260407378980778
0::500,1.6,1.5661211163446755
0::548,4.18,1.9697660258093102
0::554,5.38,2.536303772802392
0::567,5.6000000000000005,2.3480042765373437
0::578,5.8,0.9245249492566628
0::580,16.2,1.8563556232867147
0::596,3.5999999999999996,2.5187019965246478
0::6,11.4,2.640877507358528
0::600,14.3,2.3744576063797522
0::631,5.78,2.146825636078809
0::633,1.6,1.1597313187167226
0::635,2.3,1.2624687791140867
0::638,3.7,1.3622009577846992
0::644,4.2,1.2525181480094476
0::672,4.9,1.529224595325749
0::686,3.2,1.326655264611722
0::691,41.1,7.73637743525609
0::699,2.2,1.4134802488656324
0::70,42.2,10.526169059816688
0::712,17.1,4.397197694373259
0::719,3.0,1.0191398234771818
0::72,2.3,1.592778272323365
0::740,2.6999999999999997,2.314349106736859
0::76,4.8999999999999995,2.8323127785111493
0::764,3.8,0.9673973426711266
0::769,7.1000000000000005,2.0573765350698467
0::775,13.600000000000001,4.011680525464526
0::783,9.3,1.2791231203656208
0::796,13.8,2.9518157934052924
0::806,3.6,1.532528072386132
0::810,13.5,3.4342322652725663
0::834,14.200000000000001,4.527551870558682
0::843,2.9,1.9776016667698308
0::90,14.0,3.4853545321031794
0::93,5.4,1.128226050309752
12::104,18.0,3.000552373798306
12::114,11.5,2.7180325799965606
12::117,24.0,4.192871780803888
12::118,6.1000000000000005,2.111351037979777
12::122,12.8,2.0674628964051083
12::129,3.0,2.1433405024089236
12::166,8.4,1.6889782617152744
12::19,5.4,3.1481502387837987
12::194,6.01,3.7285964413433406
12::207,7.6,3.280168315411404
12::21,5.1,1.7499408164138344
12::215,17.7,6.234321478100365
12::223,5.6,1.5843465913248562
12::240,5.7,2.032966620789983
12::250,3.8,1.5893810042213885
12::291,3.34,1.5344520274700892
12::296,6.1,2.7872091832624024
12::300,23.400000000000002,14.426419593346134
12::310,9.0,2.0410421536379566
12::345,3.1,1.8486638816211602
12::370,4.2,1.8575781217551914
12::396,4.3999999999999995,1.7174934357268161
12::4,6.0,1.7907414469612812
12::41,3.0,3.6990117165214462
12::411,3.2,1.7895653377956129
12::419,5.6000000000000005,1.714375142450912
12::467,12.3,6.257277873987485
12::486,11.2,3.609155041999601
12::489,7.3,2.140856019675428
12::496,4.1,1.737904613155032
12::549,4.2,1.2619480858643164
12::580,22.6,4.675299467175291
12::6,7.1,1.9132717431342088
12::631,5.0,1.6808319883538796
12::638,3.38,0.7030248784695576
12::644,2.5,1.0401803635848832
12::645,3.6,1.235673067805545
12::688,2.6,0.3843295703097325
12::691,33.4,5.807392603474482
12::70,26.7,5.822805330684675
12::716,2.0,0.9637879398852586
12::740,5.3,2.1729194743875366
12::76,7.1,2.1143138230323157
12::768,17.400000000000002,15.241529211027933
12::769,4.1,1.43006064374554
12::775,10.6,3.720539089611542
12::783,5.6,2.808913996391108
12::796,8.0,2.443229451243537
12::802,3.1,4.9279430273306035
12::810,8.2,2.5347353330213633
12::831,6.1,2.3052070656841153
12::834,11.3,5.8026348789644935
12::90,8.2,4.474902110574364
12::93,3.3000000000000003,0.5763301125543283
18::100,2.8,0.9349796116417259
18::104,32.8,10.070651152407917
18::108,6.5,2.194444361223091
18::109,6.5,1.8286751902679463
18::11,7.1000000000000005,2.4314199037882314
18::110,4.9,1.4237179170065701
18::115,4.95,4.541759695246773
18::117,39.4,17.135453712927642
18::118,12.5,4.326261943012028
18::12,7.5,2.4197666707974377
18::122,44.7,11.813121999212383
18::127,18.2,4.329006138423032
18::129,9.6,7.52239758194116
18::136,9.9,3.180716593530111
18::140,8.4,3.020542322725288
18::15,3.0999999999999996,0.9917723269448876
18::150,7.0,0.6602470368028883
18::155,2.6,1.564296340555015
18::16,4.6,1.5805879646337513
18::18,6.8,2.505125028156332
18::181,7.4,1.6799545328160508
18::19,17.3,12.036671762202243
18::190,9.1,4.046623959763533
18::192,4.6,1.0609572798298246
18::194,6.47,1.705568379010018
18::200,3.88,0.8963473070899224
18::207,21.7,4.510095576451457
18::21,10.1,3.884767818843553
18::212,6.5,1.968208123871662
18::213,4.7,1.4685567188009294
18::215,31.5,19.678018914020626
18::216,5.1,2.144048886857133
18::223,9.8,1.868919907983079
18::23,9.7,3.6480691004203454
18::247,3.88,3.255646800404714
18::249,4.6,1.372100248332249
18::250,7.24,1.2493224419559312
18::257,4.6,1.124862060191
18::259,1.9,2.7856882818158915
18::26,8.9,1.5606703209218589
18::276,2.9,1.0440796247431376
18::285,3.7,1.0772742491447338
18::290,6.24,1.9816162902869388
18::291,4.4,2.251224116616486
18::292,14.8,1.5387178576334495
18::293,3.5,1.260110822340931
18::296,12.0,3.814561535514317
18::298,2.8,1.0507991715009415
18::300,101.538,29.33629178592415
18::303,2.6,1.1874559745107267
18::310,8.34,1.413008303882008
18::321,6.2,1.9902657044708043
18::335,7.5,3.4087017387708176
18::345,6.4,1.8949751593821675
18::348,3.5999999999999996,2.0791092366787938
18::351,16.37,3.5492222848625943
18::359,1.7,1.0739844624076684
18::362,11.2,3.1505707822958406
18::363,9.9,2.3358977643114924
18::366,3.04,0.7448517418981315
18::369,4.2,1.3355036446346946
18::373,2.6,2.120576570107416
18::374,5.0,1.4622883400822315
18::379,7.2,5.459138802375277
18::380,6.1,2.8442143120604126
18::4,6.6,1.3078146382831446
18::41,7.800000000000001,8.00199711585143
18::411,6.2,3.692959119135356
18::413,34.6,4.984574666677993
18::415,7.1,1.8078541115082993
18::416,3.5999999999999996,0.6440137705783862
18::422,8.7,1.9376020631144013
18::424,3.87,0.9437970540121454
18::425,3.8000000000000003,1.033316792583273
18::452,6.4,1.8131973130862862
18::469,4.9,1.1599104925267554
18::480,6.8,1.6210015953336765
18::481,27.5,5.506054264867824
18::486,18.5,6.6625115672737465
18::487,6.7,3.003435754602398
18::496,5.5,1.5926801553904262
18::5,4.5,0.927890324009611
18::500,6.0,2.325499368068945
18::525,3.37,0.9419094861059991
18::53,3.15,0.965564119104348
18::536,5.5,3.613763887037707
18::549,10.2,4.781516929847816
18::554,18.6,1.3386247906488506
18::556,2.0999999999999996,1.252459021428885
18::567,9.2,2.377030307257077
18::574,4.4,1.6948933828973967
18::578,22.1,5.421660385597377
18::580,29.9,4.42899079415521
18::596,10.1,3.356219821056447
18::599,9.2,2.447969031890457
18::6,17.8,2.618527886475435
18::60,5.1,1.3918295882064933
18::600,30.3,10.103821098739733
18::608,2.1,0.7996900160431777
18::61,4.2,1.9667713750561604
18::628,5.300000000000001,1.9953417402479174
18::63,4.8,2.3915315742028644
18::630,2.31,2.1138788636088828
18::632,4.68,1.1462302565266416
18::633,2.88,1.555855103598168
18::634,4.2,3.2791445459241073
18::635,6.9,4.1808519856020325
18::636,3.8,0.9709751925295
18::638,6.42,2.057347784290558
18::642,5.7,2.1837595277758934
18::644,3.8,2.6340919880438847
18::645,9.7,2.9506051245578027
18::650,8.5,1.7659244565313725
18::666,13.6,6.249633891209446
18::668,3.7,1.3448478810804891
18::669,2.0,1.124347650412259
18::670,5.6,1.627674662393148
18::673,3.2,1.6975462342193015
18::676,3.9,1.502645942387486
18::691,60.9,10.466419661373553
18::694,4.5,1.6907406190218544
18::698,4.7,1.4023645261786124
18::7,3.4,0.6617654346161439
18::70,45.3,19.7414519609001
18::707,2.1,0.8199376081115379
18::71,6.3,5.056717377973901
18::715,7.27,1.8904302210326414
18::717,4.9,1.2775072633629732
18::738,9.0,3.030411932755068
18::74,9.129999999999999,3.817578424884776
18::740,11.1,2.2546604154899335
18::764,6.7,0.9812581582300536
18::769,13.9,2.399975294292503
18::77,14.7,3.1881836694812695
18::774,12.4,3.2606161244637955
18::775,11.3,11.831517524655759
18::78,1.7,1.3823801010676011
18::783,26.299999999999997,7.68364209991233
18::788,4.3,1.5525839235503511
18::79,3.6,0.9592830707022808
18::793,10.5,3.2555396536776193
18::797,11.1,2.171712213297469
18::8,8.9,4.026562256369353
18::803,2.9,0.7133075130527597
18::806,5.6,1.6767248907311239
18::816,2.9,1.3864194626245947
18::817,3.0,0.8903975970945514
18::819,2.4,1.5560169140465434
18::823,3.4,1.004096530252931
18::825,5.0,1.0757449721067514
18::826,2.2,0.5745429682528891
18::829,3.7,1.1199680195304282
18::830,3.3,1.3336809172201065
18::834,17.3,4.177831919854885
18::841,1.8,0.6870991490488106
18::843,6.9,2.0837816392329946
18::847,8.2,1.9922868377694747
18::855,5.4,2.210367716370503
18::858,1.8,1.4101688725794879
18::88,8.0,4.386617994080326
18::93,7.8,1.7454339776506544
18::94,5.3,1.2801417786159246
18::98,4.1,0.9143661981809799
18::99,14.0,5.642715596820806
19::104,19.1,4.567672939947204
19::108,2.6,0.804753543605593
19::11,3.9,0.8994780470380943
19::114,11.5,2.593071066468892
19::117,30.6,6.3889200168300615
19::118,7.8999999999999995,2.116027460981195
19::12,4.4,0.9121218725345726
19::122,21.6,3.170364305678243
19::127,6.2,1.0318950535033007
19::129,2.8,5.356217175768068
19::166,13.6,1.5674106640061511
19::17,3.2,1.1633361037674659
19::19,7.1,6.383872242484958
19::190,4.6,2.5954057232807903
19::201,4.3,2.5029656313124904
19::207,9.6,2.1142566905727422
